whale_ID,sex,class,pregnant,mom_calf,mom_calf_pair,datetime,month,year,season,seasonal_duration,Lab,Aircraft,Flight,Focal_Length,Sw,Iw,TL.mean,TL.lower,TL.upper,TL.HPDwidth,TL.var,TL.cv,BAI.mean,BAI.lower,BAI.upper,BAI.HPDwidth,BAI.var,BAI.cv
whale145,unknown,Juvenile Unknown,,,NA,3/17/19 17:55,3,2019,season 3,136.7467361,MaRRS,LemHex,190317_L_F1,35,23.5,6000,9.42882691,9.312534872,9.552070754,0.239535882,0.003701032,1.981219343,24.53269019,24.38166021,24.68657385,0.304913644,0.00596136,0.314722297
whale146,unknown,Mature Unknown,,,NA,12/16/18 13:25,12,2018,season 3,45.55912037,MaRRS,LemHex,181216_L_F2,35,23.5,6000,12.92448166,12.78950521,13.06029719,0.270791974,0.00476842,1.920793428,26.58697257,26.2093462,26.94920219,0.739855991,0.035039015,0.704055765
whale147,F,Lactating Female,,mom,36,3/1/19 13:04,3,2019,season 3,120.544838,MaRRS,LemHex,190301_L_F1,35,23.5,6000,13.54554063,13.23340083,13.89639324,0.662992407,0.032069927,4.865761434,22.61968678,22.40234697,22.84270167,0.440354702,0.012587653,0.496004706
whale148,F,Lactating Female,,mom,27,12/24/18 19:29,12,2018,season 3,53.81203704,MaRRS,LemHex,181224_L_F1,35,23.5,6000,13.58141739,13.42402585,13.74126359,0.317237742,0.006932554,2.259301002,20.95751163,20.5282528,21.36464148,0.836388679,0.044913523,1.011227443
whale149,unknown,Calf,,calf,39,3/5/19 19:08,3,2019,season 3,124.7977778,MaRRS,LemHex,190305_L_F3,35,23.5,6000,8.070790574,7.93088224,8.214741981,0.283859741,0.005277136,2.557061172,25.09330353,24.93889199,25.24218134,0.303289357,0.005993174,0.308510963
whale150,unknown,Mature Unknown,,,NA,12/16/18 19:57,12,2018,season 3,45.83128472,MaRRS,LemHex,181216_L_F3,35,23.5,6000,13.58327922,13.4710977,13.69505624,0.223958534,0.003216682,1.538869243,20.80252434,20.53289332,21.06174662,0.528853303,0.018086766,0.64649389
whale151,unknown,Mature Unknown,,,NA,2/24/19 14:45,2,2019,season 3,115.6152199,MaRRS,LemHex,190224_L_F1,35,23.5,6000,12.49761812,12.13739566,12.8675355,0.730139843,0.088680935,8.423673158,25.88422894,25.63455501,26.13368954,0.499134531,0.016252334,0.492518608
whale152,unknown,Calf,,calf,33,2/26/19 12:51,2,2019,season 3,117.5360764,MaRRS,LemHex,190226_L_F1,35,23.5,6000,8.57306512,8.448167408,8.704284025,0.256116617,0.004503816,2.292040254,27.37359573,27.02545934,27.71775458,0.692295237,0.031113696,0.644382823
whale153,unknown,Mature Unknown,,,NA,12/16/18 19:57,12,2018,season 3,45.83128472,MaRRS,LemHex,181216_L_F3,35,23.5,6000,13.16647242,13.03050119,13.30224662,0.271745425,0.004806019,1.910548399,22.85310025,22.41111244,23.29885405,0.887741603,0.051092735,0.989086902
whale154,F,Lactating Female,,mom,38,3/5/19 18:10,3,2019,season 3,124.7574653,MaRRS,LemHex,190305_L_F2,35,23.5,6000,12.23268709,11.9068633,13.43749666,1.530633366,0.141379146,10.75057625,26.6265842,26.22981313,27.02183388,0.792020752,0.04034199,0.754333169
